Task Name,Status,Assignee,Priority,Due Date,Workstream,Estimate (days),Depends On,Description
S1 - Freeze the IR contract (ir/models.py),Complete,Anuj Seth,Urgent,2026-06-18,setup,0.5,,"Sign off the frozen intermediate representation so B and C build against a locked interface. Blocks finalization of all map work."
S2 - Provision access (Sisense / Snowflake / ThoughtSpot),To Do,Anuj Seth,High,2026-06-18,setup,0.5,,"Sisense trial token + datamodel_id, Snowflake admin, ThoughtSpot trial admin. Creds go in config.yaml (gitignored)."
S3 - Create git remote + add collaborators,Complete,Anuj Seth,Normal,2026-06-18,setup,0.25,,"Repo live at github.com/anujseth2/sisense2ts; scaffold pushed; collaborators invited."
S4 - Local setup (clone / venv / install / tests green),To Do,Anuj Seth,Normal,2026-06-18,setup,0.25,S3,"Each dev: clone, python -m venv, pip install -e '.[dev]', pytest (expect 9 passed, 1 xfail)."
A1 - Sisense auth + pull one dashboard + datamodel,To Do,Anuj Seth,High,2026-06-19,ws:extract,1,S2,"Verify REST endpoints against the trial: auth, list dashboards, export dashboard + datamodel schema."
A2 - Save real trial exports into tests/fixtures,To Do,Anuj Seth,Normal,2026-06-19,ws:extract,0.5,A1,"Replace synthetic fixtures with real trial exports so the same code runs on real data."
A3 - Implement parse_datamodel (raw -> SourceModel),To Do,Anuj Seth,Normal,2026-06-22,ws:extract,1,S1,"Build on fixtures; validate on real exports after A2."
A4 - Implement parse_dashboard + classify_filter,To Do,Anuj Seth,Normal,2026-06-23,ws:extract,1.5,S1,"Widgets / JAQL / filters / layout -> SourceDashboard. Build on fixtures."
A5 - Load Sisense data into Snowflake + create ThoughtSpot Connection,To Do,Anuj Seth,Urgent,2026-06-19,ws:infra,1,S2,"RISK #1 and the critical path. Do it first. Gates M1 (model rendering with real data)."
A6 - ThoughtSpot import client + import a trivial TML,To Do,Anuj Seth,High,2026-06-22,ws:load,1,A5,"importMetadataTML client + auth. Confirm a hand-written TML imports into the trial."
A7 - Wire end-to-end import in cli.py,To Do,Anuj Seth,Normal,2026-06-24,ws:load,1,"B4, C2","With Dev C. M2 dry-run of the full pipeline."
B1 - Translate JAQL formulas to TML (supported subset),To Do,Pooja Kalyani,Urgent,2026-06-22,ws:calc,2,S1,"The algorithmic long pole. Map common functions; flag unsupported (time-intelligence, RANK, measured-value, R) as MANUAL with the original preserved."
B2 - Translate filters (member / range / relative / top-N / exclude),To Do,Pooja Kalyani,Normal,2026-06-23,ws:calc,1,S1,"JAQL filter objects -> TML filters."
B3 - model_to_tml: Table TML,To Do,Pooja Kalyani,High,2026-06-22,ws:model,1,S1,"One Table TML per source table; types + Snowflake connection binding."
B4 - model_to_tml: Model TML,To Do,Pooja Kalyani,High,2026-06-23,ws:model,1.5,B3,"model_tables, joins + cardinality default, column_ids. Part of M1."
B5 - Calculated columns -> formulas,To Do,Pooja Kalyani,Normal,2026-06-24,ws:model,1,"B1, B4","Uses translate_formula; record coverage items."
B6 - Unit tests + remove xfail,To Do,Pooja Kalyani,Normal,2026-06-24,ws:calc,0.5,B1,"Tests for formula + model; flip the test_formula xfail to pass."
C1 - dashboard_to_tml: widget -> Answer,To Do,Apratim,Normal,2026-06-23,ws:content,1.5,S1,"CHART_TYPE_MAP + fields + measures (via B1). Soft dep on B1; build dimensions/chart types first."
C2 - dashboard_to_tml: Liveboard TML,To Do,Apratim,Normal,2026-06-23,ws:content,1,C1,"visualizations + layout.tiles approximating the Sisense grid."
C3 - Coverage report wiring + polish,To Do,Apratim,Normal,2026-06-24,ws:content,0.5,C1,"Wire CoverageItems from all map stages; render the markdown report."
C4 - CLI end-to-end wiring + dry-run UX,To Do,Apratim,High,2026-06-24,ws:load,1,"A6, B4, C2","Write TML + report to out/. Part of M2."
C5 - QA end-to-end on real dashboard,To Do,Apratim,Normal,2026-06-25,ws:content,1,C4,"Run end-to-end on the real dashboard; fix import errors via VALIDATE_ONLY."
C6 - Demo script + known-limitations sheet,To Do,Apratim,Normal,2026-06-26,ws:content,0.5,,"For the Friday demo."
